,folio,line,type,word,pre_text,after_text,position
313,019r,N011,#snorm,chlain-s-,chlain,,final
314,019r,N012,#snorm,e-s-,e,,final
315,019r,N013,#snorm,e-s-,e,,final
316,019r,N013,#snorm,e-s-,e,,final
317,019v,N003,#snorm,da-s-,da,,final
318,019v,N004,#snorm,-s-toß,,toß,initial
319,019v,N013,#snorm,e-s-,e,,final
320,019v,N019,#snorm,da-s-,da,,final
321,019v,N023,#snorm,da-s-,da,,final
322,020r,N001,#snorm,da-s-,da,,final
323,020r,N002,#snorm,da-s-,da,,final
324,020r,N019,#snorm,e-s-,e,,final
325,020r,N020,#snorm,e-s-,e,,final
326,020v,N001,#snorm,e-s-,e,,final
327,020v,N001,#snorm,da-s-,da,,final
328,020v,N002,#snorm,da-s-,da,,final
329,020v,N002,#snorm,e-s-,e,,final
330,020v,N003,#snorm,e-s-,e,,final
331,020v,N004,#snorm,da-s-,da,,final
332,020v,N004,#snorm,e-s-,e,,final
333,020v,N007,#snorm,-S-o,,o,initial
334,020v,N012,#snorm,geriben-s-,geriben,,final
335,020v,N016,#snorm,-S-malcz,,malcz,initial
336,020v,N017,#snorm,al-s-,al,,final
337,020v,N018,#snorm,-S-o,,o,initial
338,020v,N019,#snorm,Al-s-,Al,,final
339,020v,N020,#snorm,treib-s-,treib,,final
340,020v,N021,#snorm,al-s-,al,,final
341,020v,N021,#snorm,da-s-,da,,final
342,020v,N023,#snorm,mag-s-,mag,,final
343,020v,N024,#snorm,-S-equitur,,equitur,initial
344,021r,N001,#snorm,e-s-,e,,final
345,021r,N003,#snorm,gew|s|-s-,gew|s|,,final
346,021r,N004,#snorm,-S-equitur,,equitur,initial
347,021r,N005,#snorm,-S-o,,o,initial
348,021r,N008,#snorm,da-s-,da,,final
349,021r,N010,#snorm,da-s-,da,,final
350,021r,N015,#snorm,da-s-,da,,final
351,021r,N015,#snorm,al-s-,al,,final
352,021r,N016,#snorm,e-s-,e,,final
353,021r,N016,#snorm,alle-s-,alle,,final
354,021r,N017,#snorm,alle-s-,alle,,final
355,021r,N017,#snorm,e-s-,e,,final
356,021r,N022,#snorm,da-s-,da,,final
357,021r,N022,#snorm,e-s-,e,,final
358,021v,N001,#snorm,leg-s-,leg,,final
359,021v,N002,#snorm,erbelle-s-,erbelle,,final
360,021v,N004,#snorm,e-s-,e,,final
361,021v,N005,#snorm,e-s-,e,,final
362,021v,N010,#snorm,da-s-,da,,final
363,021v,N011,#snorm,al-s-,al,,final
364,021v,N012,#snorm,aine-s-,aine,,final
365,021v,N014,#snorm,e-s-,e,,final
366,021v,N014,#snorm,al-s-,al,,final
367,021v,N014,#snorm,-S-weinen,,weinen,initial
368,021v,N016,#snorm,da-s-,da,,final
369,021v,N019,#snorm,al-s-,al,,final
370,021v,N020,#snorm,e-s-,e,,final
371,021v,N020,#snorm,-S-ierem,,ierem,initial
372,021v,N020,#snorm,da-s-,da,,final
373,021v,N020,#snorm,e-s-,e,,final
374,022r,N002,#snorm,e-s-,e,,final
375,022r,N002,#snorm,-S-o,,o,initial
376,022r,N004,#snorm,da-s-,da,,final
377,022r,N005,#snorm,e-s-,e,,final
378,022r,N005,#snorm,gew|s|-s-,gew|s|,,final
379,022r,N006,#snorm,i|s|-s-,i|s|,,final
380,022r,N006,#snorm,e-s-,e,,final
381,022r,N008,#snorm,-S-o,,o,initial
382,022r,N014,#snorm,da-s-,da,,final
383,022r,N014,#snorm,wierf-s-,wierf,,final
384,022r,N016,#snorm,da-s-,da,,final
385,022r,N016,#snorm,ain-s-,ain,,final
386,022r,N016,#snorm,al-s-,al,,final
387,022r,N016,#snorm,al-s-,al,,final
388,022r,N016,#snorm,de-s-,de,,final
389,022r,N017,#snorm,da-s-,da,,final
390,022r,N017,#snorm,de-s-,de,,final
391,022r,N017,#snorm,benig-s-,benig,,final
392,022r,N019,#snorm,da-s-,da,,final
393,022r,N021,#snorm,da-s-,da,,final
394,022r,N021,#snorm,ain-s-,ain,,final
395,022r,N021,#snorm,al-s-,al,,final
396,022r,N021,#snorm,al-s-,al,,final
397,022r,N021,#snorm,de-s-,de,,final
398,022r,N022,#snorm,da-s-,da,,final
399,022v,N001,#snorm,e-s-,e,,final
400,022v,N001,#snorm,da-s-,da,,final
401,022v,N002,#snorm,e-s-,e,,final
402,022v,N002,#snorm,e-s-,e,,final
403,022v,N003,#snorm,da-s-,da,,final
404,022v,N003,#snorm,al-s-,al,,final
405,022v,N004,#snorm,da-s-,da,,final
406,022v,N004,#snorm,da-s-,da,,final
407,022v,N004,#snorm,e-s-,e,,final
408,022v,N005,#snorm,e-s-,e,,final
409,022v,N006,#snorm,e-s-,e,,final
410,022v,N007,#snorm,e-s-,e,,final
411,022v,N007,#snorm,da-s-,da,,final
412,022v,N008,#snorm,e-s-,e,,final
413,022v,N009,#snorm,-s-ey,,ey,initial
414,022v,N012,#snorm,dar-s-,dar,,final
415,022v,N014,#snorm,da-s-,da,,final
416,022v,N015,#snorm,al-s-,al,,final
417,022v,N015,#snorm,-S-o,,o,initial
418,022v,N016,#snorm,cher|s|-s-,cher|s|,,final
419,022v,N016,#snorm,e-s-,e,,final
420,022v,N017,#snorm,da-s-,da,,final
421,022v,N019,#snorm,-S-am,,am,initial
422,022v,N021,#snorm,e-s-,e,,final
423,022v,N022,#snorm,e-s-,e,,final
424,023r,N001,#snorm,-S-o,,o,initial
425,023r,N002,#snorm,e-s-,e,,final
426,023r,N003,#snorm,-S-o,,o,initial
427,023r,N003,#snorm,e-s-,e,,final
428,023r,N005,#snorm,-S-o,,o,initial
429,023r,N008,#snorm,mach-s-,mach,,final
430,023r,N012,#snorm,-S-toß,,toß,initial
431,023r,N012,#snorm,mach-s-,mach,,final
432,023r,N017,#snorm,-S-o,,o,initial
433,023v,N001,#snorm,pre|s|-s-,pre|s|,,final
434,023v,N001,#snorm,e-s-,e,,final
435,023v,N002,#snorm,mach-s-,mach,,final
436,023v,N004,#snorm,al-s-,al,,final
437,023v,N007,#snorm,al-s-,al,,final
438,023v,N010,#snorm,al-s-,al,,final
439,023v,N012,#snorm,da-s-,da,,final
440,023v,N013,#snorm,al-s-,al,,final
441,023v,N013,#snorm,al-s-,al,,final
442,023v,N015,#snorm,al-s-,al,,final
443,023v,N017,#snorm,da-s-,da,,final
444,023v,N018,#snorm,-S-y,,y,initial
445,023v,N018,#snorm,-S-mecken,,mecken,initial
446,023v,N018,#snorm,-S-o,,o,initial
447,023v,N020,#snorm,al-s-,al,,final
448,024r,N003,#snorm,-S-mechent,,mechent,initial
449,024r,N005,#snorm,-S-o,,o,initial
450,024r,N008,#snorm,da-s-,da,,final
451,024r,N009,#snorm,da-s-,da,,final
452,024r,N010,#snorm,e-s-,e,,final
453,024r,N010,#snorm,da-s-,da,,final
454,024r,N010,#snorm,e-s-,e,,final
455,024r,N011,#snorm,wa|s|-s-er,wa|s|,er,medial
456,024r,N012,#snorm,e-s-,e,,final
457,024r,N015,#snorm,e-s-,e,,final
458,024r,N021,#snorm,nu|s|-s-,nu|s|,,final
459,024v,N001,#snorm,nu|s|-s-,nu|s|,,final
460,024v,N002,#snorm,wa|s|-s-er,wa|s|,er,medial
461,024v,N006,#snorm,be-s-teck,be,teck,medial
462,024v,N008,#snorm,|s|awber-s-,|s|awber,,final
463,024v,N009,#snorm,e-s-,e,,final
464,024v,N011,#snorm,e-s-,e,,final
465,024v,N015,#snorm,-S-o,,o,initial
466,024v,N016,#snorm,wa|s|-s-er,wa|s|,er,medial
467,024v,N019,#snorm,da-s-,da,,final
468,024v,N020,#snorm,zucker-s-,zucker,,final
469,024v,N020,#snorm,da-s-,da,,final
470,025r,N001,#snorm,czucker-s-,czucker,,final
471,025r,N002,#snorm,e-s-,e,,final
472,025r,N002,#snorm,gew|s|-s-,gew|s|,,final
473,025r,N004,#snorm,da-s-,da,,final
474,025r,N005,#snorm,al-s-,al,,final
475,025r,N009,#snorm,-S-o,,o,initial
476,025r,N009,#snorm,da-s-,da,,final
477,025r,N010,#snorm,da-s-,da,,final
478,025r,N011,#snorm,da-s-,da,,final
479,025r,N013,#snorm,-S-warczen,,warczen,initial
