folio,line,type,word,pre_text,after_text
029v,N003,#snorm,e-s-,e,
029v,N003,#snorm,da-s-,da,
029v,N004,#snorm,wa|s|-s-er,wa|s|,er
029v,N004,#snorm,e-s-,e,
029v,N008,#snorm,da-s-,da,
029v,N009,#snorm,annei-s-,annei,
029v,N010,#snorm,e-s-,e,
029v,N010,#snorm,al-s-,al,
029v,N011,#snorm,e-s-,e,
029v,N014,#snorm,-S-lach,,lach
029v,N015,#snorm,a=annei-s-,a=annei,
029v,N015,#snorm,da-s-,da,
029v,N016,#snorm,e-s-,e,
029v,N017,#snorm,e-s-,e,
029v,N018,#snorm,da-s-,da,
029v,N021,#snorm,da-s-,da,
029v,N021,#snorm,da-s-,da,
029v,N022,#snorm,da-s-,da,
030r,N002,#snorm,da-s-,da,
030r,N002,#snorm,e-s-,e,
030r,N003,#snorm,e-s-,e,
030r,N004,#snorm,al-s-,al,
030r,N006,#snorm,e-s-,e,
030r,N008,#snorm,e-s-,e,
030r,N010,#snorm,-S-o,,o
030r,N012,#snorm,da-s-,da,
030r,N012,#snorm,-S-wayß,,wayß
030r,N013,#snorm,e-s-,e,
030r,N015,#snorm,rocken-s-,rocken,
030r,N018,#snorm,-S-o,,o
030r,N021,#snorm,anei-s-,anei,
030v,N001,#snorm,da-s-,da,
030v,N003,#snorm,da-s-,da,
030v,N003,#snorm,al-s-,al,
030v,N004,#snorm,e-s-,e,
030v,N005,#snorm,da-s-,da,
030v,N006,#snorm,ein-s-,ein,
030v,N006,#snorm,wilden-s-,wilden,
030v,N007,#snorm,-S-wein,,wein
030v,N007,#snorm,da-s-,da,
030v,N009,#snorm,-S-o,,o
030v,N010,#snorm,da-s-,da,
030v,N010,#snorm,e-s-,e,
030v,N012,#snorm,da-s-,da,
030v,N016,#snorm,hal-s-,hal,
030v,N016,#snorm,da-s-,da,
030v,N018,#snorm,nu|s|-s-,nu|s|,
030v,N018,#snorm,gro|s|-s-,gro|s|,
030v,N019,#snorm,chlain-s-,chlain,
030v,N021,#snorm,al-s-,al,
030v,N021,#snorm,e-s-,e,
030v,N022,#snorm,hal|s|-s-,hal|s|,
031r,N001,#snorm,da-s-,da,
031r,N002,#snorm,e-s-,e,
031r,N003,#snorm,e-s-,e,
031r,N004,#snorm,-S-o,,o
031r,N005,#snorm,e-s-,e,
031r,N006,#snorm,da-s-,da,
031r,N010,#snorm,-S-o,,o
031r,N010,#snorm,e-s-,e,
031r,N013,#snorm,e-s-,e,
031r,N016,#snorm,-S-o,,o
031r,N020,#snorm,e-s-,e,
031r,N020,#snorm,e-s-,e,
031r,N022,#snorm,-S-o,,o
031v,N002,#snorm,da-s-,da,
031v,N008,#snorm,e-s-,e,
031v,N008,#snorm,e-s-,e,
031v,N009,#snorm,|s|ieden-s-,|s|ieden,
031v,N009,#snorm,wa|s|-s-er,wa|s|,er
031v,N010,#snorm,da-s-,da,
031v,N010,#snorm,da-s-,da,
031v,N010,#snorm,wa|s|-s-er,wa|s|,er
031v,N012,#snorm,da-s-,da,
031v,N012,#snorm,e-s-,e,
031v,N012,#snorm,e-s-,e,
