folio,line,type,word,pre_text,after_text
201r,N013,#snorm,e-s-,e,
201r,N013,#snorm,bi-s-,bi,
201r,N013,#snorm,da-s-,da,
201r,N013,#snorm,e-s-,e,
201r,N014,#snorm,e-s-,e,
201r,N015,#snorm,e-s-,e,
201r,N015,#snorm,e-s-,e,
201r,N016,#snorm,da-s-,da,
201r,N016,#snorm,e-s-,e,
201r,N017,#snorm,lau-s-,lau,
201r,N017,#snorm,e-s-,e,
201r,N017,#snorm,e-s-,e,
201r,N018,#snorm,e-s-,e,
201r,N020,#snorm,anei-s-,anei,
201r,N021,#snorm,e-s-,e,
201r,N022,#snorm,da-s-,da,
201r,N023,#snorm,-S-ualenberger,,ualenberger
201r,N024,#snorm,e-s-,e,
201r,N025,#snorm,pffefferr-s-,pffefferr,
201v,N001,#snorm,e-s-,e,
201v,N002,#snorm,e-s-,e,
201v,N003,#snorm,la-s-,la,
201v,N003,#snorm,e-s-,e,
201v,N003,#snorm,bi-s-,bi,
201v,N003,#snorm,da-s-,da,
201v,N003,#snorm,e-s-,e,
201v,N004,#snorm,da-s-,da,
201v,N007,#snorm,da-s-,da,
201v,N008,#snorm,al-s-,al,
201v,N008,#snorm,muo-s-,muo,
201v,N008,#snorm,da-s-,da,
201v,N009,#snorm,|s|ech-s-,|s|ech,
201v,N011,#snorm,aney-s-,aney,
201v,N012,#snorm,iegklich-s-,iegklich,
201v,N013,#snorm,da-s-,da,
201v,N015,#snorm,geu-s-,geu,
201v,N015,#snorm,da-s-,da,
201v,N016,#snorm,begeu-s-,begeu,
201v,N016,#snorm,da-s-,da,
201v,N016,#snorm,da-s-,da,
201v,N023,#snorm,da-s-,da,
201v,N025,#snorm,da-s-,da,
202r,N001,#snorm,e-s-,e,
202r,N001,#snorm,hai-s-,hai,
202r,N001,#snorm,da-s-,da,
202r,N004,#snorm,geu-s-,geu,
202r,N004,#snorm,da-s-,da,
202r,N004,#snorm,e-s-,e,
202r,N005,#snorm,da-s-,da,
202r,N007,#snorm,da-s-,da,
202r,N008,#snorm,da-s-,da,
202r,N010,#snorm,geu-s-,geu,
202r,N011,#snorm,e-s-,e,
202r,N011,#snorm,da-s-,da,
202r,N017,#snorm,wei-s-,wei,
202r,N017,#snorm,geu-s-,geu,
202r,N018,#snorm,da-s-,da,
202r,N018,#snorm,e-s-,e,
202r,N025,#snorm,e-s-,e,
202r,N025,#snorm,e-s-,e,
202v,N002,#snorm,geu-s-,geu,
202v,N005,#snorm,e-s-,e,
202v,N006,#snorm,e-s-,e,
202v,N007,#snorm,da-s-,da,
202v,N009,#snorm,al-s-,al,
202v,N010,#snorm,e-s-,e,
202v,N011,#snorm,da-s-,da,
202v,N013,#snorm,nu|s|-s-,nu|s|,
