,folio,line,type,word,pre_text,after_text,position
236,196v,N026,#snorm,hai-s-,hai,,final
237,197r,N009,#snorm,da-s-,da,,final
238,197r,N011,#snorm,al-s-,al,,final
239,197r,N012,#snorm,|s|neid-s-,|s|neid,,final
240,197r,N012,#snorm,twere-s-,twere,,final
241,197r,N013,#snorm,da-s-,da,,final
242,197r,N013,#snorm,la-s-,la,,final
243,197r,N014,#snorm,da-s-,da,,final
244,197r,N014,#snorm,da-s-,da,,final
245,197r,N015,#snorm,da-s-,da,,final
246,197r,N016,#snorm,e-s-,e,,final
247,197r,N017,#snorm,da-s-,da,,final
248,197r,N017,#snorm,e-s-,e,,final
249,197r,N021,#snorm,da-s-,da,,final
250,197r,N025,#snorm,bi-s-,bi,,final
251,197r,N025,#snorm,-S-o,,o,initial
252,197v,N001,#snorm,|s|pi-s-,|s|pi,,final
253,197v,N003,#snorm,piperi-s-,piperi,,final
254,197v,N004,#snorm,e-s-,e,,final
255,197v,N006,#snorm,gan-s-,gan,,final
256,197v,N007,#snorm,-S-to-s-,,to-s-,initial
257,197v,N007,#snorm,-S-to-s-,-S-to,,final
258,197v,N007,#snorm,gan-s-,gan,,final
259,197v,N007,#snorm,|s|pi-s-,|s|pi,,final
260,197v,N007,#snorm,da-s-,da,,final
261,197v,N008,#snorm,da-s-,da,,final
262,197v,N008,#snorm,gan-s-,gan,,final
263,197v,N009,#snorm,brot-s-,brot,,final
264,197v,N010,#snorm,pfeffer-s-,pfeffer,,final
265,197v,N010,#snorm,|s|affran-s-,|s|affran,,final
266,197v,N012,#snorm,da-s-,da,,final
267,197v,N014,#snorm,da-s-,da,,final
268,197v,N015,#snorm,herau-s-,herau,,final
269,197v,N016,#snorm,da-s-,da,,final
270,197v,N017,#snorm,da-s-,da,,final
271,197v,N018,#snorm,al-s-,al,,final
272,197v,N018,#snorm,gan-s-,gan,,final
273,197v,N019,#snorm,ua-s-,ua,,final
274,197v,N019,#snorm,da-s-,da,,final
275,197v,N020,#snorm,e-s-,e,,final
276,197v,N021,#snorm,gepachen-s-,gepachen,,final
277,197v,N021,#snorm,|s|pi-s-,|s|pi,,final
278,197v,N023,#snorm,da-s-,da,,final
279,197v,N024,#snorm,da-s-,da,,final
280,197v,N024,#snorm,-S-o,,o,initial
281,197v,N025,#snorm,da-s-,da,,final
282,197v,N026,#snorm,da-s-,da,,final
283,197v,N026,#snorm,e-s-,e,,final
284,197v,N026,#snorm,da-s-,da,,final
285,198r,N001,#snorm,e-s-,e,,final
286,198r,N001,#snorm,na-s-,na,,final
287,198r,N002,#snorm,e-s-,e,,final
288,198r,N002,#snorm,e-s-,e,,final
289,198r,N003,#snorm,|s|pi-s-,|s|pi,,final
290,198r,N003,#snorm,e-s-,e,,final
291,198r,N004,#snorm,e-s-,e,,final
292,198r,N005,#snorm,al-s-,al,,final
293,198r,N005,#snorm,bi-s-,bi,,final
294,198r,N005,#snorm,da-s-,da,,final
295,198r,N005,#snorm,e-s-,e,,final
296,198r,N006,#snorm,e-s-,e,,final
